title,price,availability,rating,title_length,availability_binary,price_category,series_book
Maude (1883-1993):She Grew Up with the country,18.02,In stock,2,46,1,low,0
"In a Dark, Dark Wood",19.63,In stock,1,20,1,low,0
Behind Closed Doors,52.22,In stock,4,19,1,high,0
You can't bury them all: Poems,33.63,In stock,2,30,1,midium,0
Slow States of Collapse: Poems,57.31,In stock,3,30,1,high,0
Reasons to Stay Alive,26.41,In stock,2,21,1,midium,0
Private Paris (Private #10),47.61,In stock,5,27,1,high,1
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,In stock,5,66,1,midium,1
Without Borders (Wanderlove #1),45.07,In stock,2,31,1,high,1
When We Collided,31.77,In stock,1,16,1,midium,0
"We Love You, Charlie Freeman",50.27,In stock,5,28,1,high,0
Untitled Collection: Sabbath Poems 2014,14.27,In stock,4,39,1,low,0
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,In stock,4,105,1,high,0
Unicorn Tracks,18.78,In stock,3,14,1,low,0
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,In stock,1,102,1,midium,0
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,In stock,1,55,1,low,1
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,In stock,3,75,1,midium,0
This One Summer,19.49,In stock,4,15,1,low,0
Thirst,17.27,In stock,5,6,1,low,0
The Torch Is Passed: A Harding Family Story,19.09,In stock,1,43,1,low,0
The Secret of Dreadwillow Carse,56.13,In stock,1,31,1,high,0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,In stock,1,127,1,high,0
The Past Never Ends,56.5,In stock,4,19,1,high,0
The Natural History of Us (The Fine Art of Pretending #2),45.22,In stock,3,57,1,high,1
The Nameless City (The Nameless City #1),38.16,In stock,4,40,1,midium,1
The Murder That Never Was (Forensic Instincts #5),54.11,In stock,3,49,1,high,1
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,In stock,4,57,1,high,0
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,In stock,4,150,1,midium,1
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,In stock,3,86,1,low,0
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,In stock,5,82,1,midium,0
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,In stock,1,57,1,midium,0
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,In stock,1,62,1,high,1
The Death of Humanity: and the Case for Life,58.11,In stock,4,44,1,high,0
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,In stock,3,91,1,high,0
The Art Forger,40.76,In stock,3,14,1,high,0
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,In stock,1,75,1,low,0
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,In stock,5,67,1,midium,0
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,In stock,4,78,1,high,0
Soul Reader,39.58,In stock,2,11,1,midium,0
Security,39.25,In stock,2,8,1,midium,0
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,In stock,3,45,1,midium,1
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,In stock,2,45,1,high,1
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,In stock,2,65,1,low,0
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,In stock,3,67,1,high,1
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,In stock,5,81,1,low,1
Princess Between Worlds (Wide-Awake Princess #5),13.34,In stock,5,48,1,low,1
"Pop Gun War, Volume 1: Gift",18.97,In stock,1,27,1,low,0
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,In stock,2,163,1,midium,0
Patience,10.16,In stock,3,8,1,low,0
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,In stock,4,54,1,low,1
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,In stock,1,70,1,high,1
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,In stock,1,55,1,high,0
On a Midnight Clear,14.07,In stock,3,19,1,low,0
Obsidian (Lux #1),14.86,In stock,2,17,1,low,1
My Paris Kitchen: Recipes and Stories,33.37,In stock,2,37,1,midium,0
Masks and Shadows,56.4,In stock,2,17,1,high,0
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,In stock,4,83,1,low,0
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,In stock,2,61,1,high,1
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,In stock,3,62,1,high,1
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,In stock,2,55,1,low,1
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,In stock,1,56,1,high,0
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,In stock,2,69,1,high,0
Join,35.67,In stock,5,4,1,midium,0
In the Country We Love: My Family Divided,22.0,In stock,4,41,1,midium,0
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,In stock,5,68,1,high,0
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,In stock,2,81,1,midium,1
I am a Hero Omnibus Volume 1,54.63,In stock,3,28,1,high,0
How to Be Miserable: 40 Strategies You Already Use,46.03,In stock,1,50,1,high,0
Her Backup Boyfriend (The Sorensen Family #1),33.97,In stock,1,45,1,midium,1
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,In stock,2,36,1,midium,1
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,In stock,3,73,1,midium,0
First and First (Five Boroughs #3),15.97,In stock,4,34,1,low,1
Fifty Shades Darker (Fifty Shades #2),21.96,In stock,1,37,1,midium,1
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,In stock,2,77,1,high,0
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,In stock,2,83,1,midium,0
Danganronpa Volume 1,51.99,In stock,4,20,1,high,0
Crown of Midnight (Throne of Glass #2),43.29,In stock,3,38,1,high,1
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,In stock,4,51,1,midium,0
Camp Midnight,17.08,In stock,4,13,1,low,0
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,In stock,5,66,1,midium,0
Burning,28.81,In stock,3,7,1,midium,0
Bossypants,49.46,In stock,2,10,1,high,0
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,In stock,2,79,1,midium,1
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,In stock,2,74,1,midium,1
Algorithms to Live By: The Computer Science of Human Decisions,30.81,In stock,1,62,1,midium,0
A World of Flavor: Your Gluten Free Passport,42.95,In stock,1,44,1,high,0
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,In stock,5,61,1,high,0
A Murder in Time,16.64,In stock,1,16,1,low,0
A Flight of Arrows (The Pathfinders #2),55.53,In stock,5,39,1,high,1
A Fierce and Subtle Poison,28.13,In stock,4,26,1,midium,0
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,In stock,1,60,1,high,1
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,In stock,5,58,1,high,0
You Are What You Love: The Spiritual Power of Habit,21.87,In stock,4,51,1,midium,0
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,In stock,4,88,1,high,1
Tuesday Nights in 1980,21.04,In stock,2,22,1,midium,0
Tracing Numbers on a Train,41.6,In stock,3,26,1,high,0
Throne of Glass (Throne of Glass #1),35.07,In stock,3,36,1,midium,1
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,In stock,1,89,1,high,0
Thirteen Reasons Why,52.72,In stock,1,20,1,high,0
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,In stock,4,69,1,high,0
The Wedding Dress,24.12,In stock,1,17,1,midium,0
The Vacationers,42.15,In stock,4,15,1,high,0
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,In stock,5,56,1,low,0
The Stranger,17.44,In stock,4,12,1,low,0
The Shadow Hero (The Shadow Hero),33.14,In stock,1,33,1,midium,0
The Secret (The Secret #1),27.37,In stock,4,26,1,midium,1
The Regional Office Is Under Attack!,51.36,In stock,5,36,1,high,0
The Psychopath Test: A Journey Through the Madness Industry,36.0,In stock,2,59,1,midium,0
The Project,10.65,In stock,1,11,1,low,0
The Power of Now: A Guide to Spiritual Enlightenment,43.54,In stock,2,52,1,high,0
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,In stock,2,55,1,midium,0
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,In stock,5,66,1,midium,1
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,In stock,4,47,1,high,1
The Mistake (Off-Campus #2),43.29,In stock,3,27,1,high,1
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,In stock,1,43,1,high,1
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,In stock,2,83,1,midium,1
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,In stock,1,70,1,low,0
The Kite Runner,41.82,In stock,4,15,1,high,0
The House by the Lake,36.95,In stock,1,21,1,midium,0
The Glittering Court (The Glittering Court #1),44.28,In stock,1,46,1,high,1
The Girl on the Train,55.02,In stock,2,21,1,high,0
The Genius of Birds,17.24,In stock,1,19,1,low,0
The Emerald Mystery,23.15,In stock,2,19,1,midium,0
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,In stock,1,98,1,high,1
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,In stock,3,96,1,midium,0
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,In stock,5,55,1,midium,0
The Art of War,33.34,In stock,5,14,1,midium,0
The Argonauts,10.93,In stock,2,13,1,low,0
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,In stock,3,75,1,midium,0
Suddenly in Love (Lake Haven #1),55.99,In stock,2,32,1,high,1
Something More Than This,16.24,In stock,4,24,1,low,0
Soft Apocalypse,26.12,In stock,2,15,1,midium,0
So You've Been Publicly Shamed,12.23,In stock,2,30,1,low,0
Shoe Dog: A Memoir by the Creator of NIKE,23.99,In stock,2,41,1,midium,0
"Shobu Samurai, Project Aryoku (#3)",29.06,In stock,3,34,1,midium,1
Secrets and Lace (Fatal Hearts #1),20.27,In stock,1,34,1,midium,1
Scarlett Epstein Hates It Here,43.55,In stock,5,30,1,high,0
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,In stock,1,52,1,midium,0
Redeeming Love,20.47,In stock,5,14,1,midium,0
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,In stock,1,116,1,high,0
Poems That Make Grown Women Cry,14.19,In stock,4,31,1,low,0
"Nightingale, Sing",38.28,In stock,1,17,1,midium,0
Night Sky with Exit Wounds,41.05,In stock,1,26,1,high,0
Mrs. Houdini,30.25,In stock,5,12,1,midium,0
Modern Romance,28.26,In stock,5,14,1,midium,0
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,In stock,1,87,1,low,1
Louisa: The Extraordinary Life of Mrs. Adams,16.85,In stock,2,44,1,low,0
Little Red,13.47,In stock,3,10,1,low,0
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,In stock,5,58,1,high,1
Large Print Heart of the Pride,19.15,In stock,2,30,1,low,0
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,In stock,4,70,1,high,0
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,In stock,1,53,1,high,1
Grumbles,22.16,In stock,2,8,1,midium,0
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,In stock,4,66,1,high,0
Frostbite (Vampire Academy #2),29.99,In stock,5,30,1,midium,1
Follow You Home,21.36,In stock,1,15,1,midium,0
First Steps for New Christians (Print Edition),29.0,In stock,1,46,1,midium,0
Finders Keepers (Bill Hodges Trilogy #2),53.53,In stock,5,40,1,high,1
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,In stock,4,44,1,high,1
Eureka Trivia 6.0,54.59,In stock,4,17,1,high,0
Drive: The Surprising Truth About What Motivates Us,34.95,In stock,4,51,1,midium,0
Done Rubbed Out (Reightman & Bailey #1),37.72,In stock,5,39,1,midium,1
Doing It Over (Most Likely To #1),35.61,In stock,3,33,1,midium,1
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,In stock,3,107,1,high,0
Dark Notes,19.19,In stock,5,10,1,low,0
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,In stock,3,99,1,low,0
Close to You,49.46,In stock,4,12,1,high,0
Chasing Heaven: What Dying Taught Me About Living,37.8,In stock,2,49,1,midium,0
Big Magic: Creative Living Beyond Fear,30.8,In stock,3,38,1,midium,0
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,In stock,2,60,1,midium,0
Beauty Restored (Riley Family Legacy Novellas #3),11.11,In stock,2,49,1,low,1
Batman: The Long Halloween (Batman),36.5,In stock,2,35,1,midium,0
Batman: The Dark Knight Returns (Batman),15.38,In stock,5,40,1,low,0
Ayumi's Violin,15.48,In stock,2,14,1,low,0
Anonymous,46.82,In stock,4,9,1,high,0
Amy Meets the Saints and Sages,18.46,In stock,3,30,1,low,0
Amid the Chaos,36.58,In stock,1,14,1,midium,0
Amatus,50.54,In stock,5,6,1,high,0
Agnostic: A Spirited Manifesto,12.51,In stock,5,30,1,low,0
Zealot: The Life and Times of Jesus of Nazareth,24.7,In stock,3,47,1,midium,0
You (You #1),43.61,In stock,5,12,1,high,1
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,In stock,4,64,1,midium,1
Wild Swans,14.36,In stock,2,10,1,low,0
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,In stock,4,82,1,high,1
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,In stock,4,102,1,midium,0
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,In stock,2,67,1,low,0
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,In stock,1,62,1,high,1
Walt Disney's Alice in Wonderland,12.96,In stock,5,33,1,low,0
V for Vendetta (V for Vendetta Complete),37.1,In stock,4,40,1,midium,0
Until Friday Night (The Field Party #1),46.31,In stock,2,39,1,high,1
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,In stock,2,70,1,high,0
Twenty Yawns,22.08,In stock,2,12,1,midium,0
Through the Woods,25.38,In stock,2,17,1,midium,0
This Is Where It Ends,27.12,In stock,2,21,1,midium,0
The Year of Magical Thinking,43.04,In stock,2,28,1,high,0
The Wright Brothers,56.8,In stock,4,19,1,high,0
The White Queen (The Cousins' War #1),25.91,In stock,5,37,1,midium,1
The Wedding Pact (The O'Malleys #2),32.61,In stock,3,35,1,midium,1
The Time Keeper,27.88,In stock,5,15,1,midium,0
The Testament of Mary,52.67,In stock,4,21,1,high,0
The Star-Touched Queen,46.02,In stock,5,22,1,high,0
The Songs of the Gods,44.48,In stock,5,21,1,high,0
The Song of Achilles,37.4,In stock,5,20,1,midium,0
The Rosie Project (Don Tillman #1),54.04,In stock,1,34,1,high,1
The Power of Habit: Why We Do What We Do in Life and Business,16.88,In stock,3,61,1,low,0
The Marriage of Opposites,28.08,In stock,4,25,1,midium,0
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,In stock,1,59,1,low,0
The Long Haul (Diary of a Wimpy Kid #9),44.07,In stock,1,39,1,high,1
The Loney,23.4,In stock,1,9,1,midium,0
The Literature Book (Big Ideas Simply Explained),17.43,In stock,3,48,1,low,1
The Last Mile (Amos Decker #2),54.21,In stock,2,30,1,high,1
The Immortal Life of Henrietta Lacks,40.67,In stock,2,36,1,high,0
The Hidden Oracle (The Trials of Apollo #1),52.26,In stock,2,43,1,high,1
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,In stock,3,113,1,midium,1
The Guilty (Will Robie #4),13.82,In stock,2,26,1,low,1
The First Hostage (J.B. Collins #2),25.85,In stock,3,35,1,midium,1
The Dovekeepers,48.78,In stock,1,15,1,high,0
The Darkest Lie,35.35,In stock,5,15,1,midium,0
The Bane Chronicles (The Bane Chronicles #1-11),44.73,In stock,4,47,1,high,1
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,In stock,1,98,1,low,0
The 14th Colony (Cotton Malone #11),39.24,In stock,1,35,1,midium,1
That Darkness (Gardiner and Renner #1),13.92,In stock,1,38,1,low,1
Tastes Like Fear (DI Marnie Rome #3),10.69,In stock,1,36,1,low,1
Take Me with You,45.21,In stock,3,16,1,high,0
Swell: A Year of Waves,45.58,In stock,1,22,1,high,0
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,In stock,5,61,1,low,1
Still Life with Bread Crumbs,26.41,In stock,3,28,1,midium,0
Steve Jobs,39.5,In stock,5,10,1,midium,0
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,In stock,4,67,1,high,0
Someone Like You (The Harrisons #2),52.79,In stock,5,35,1,high,1
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,In stock,4,50,1,midium,1
Shtum,55.84,In stock,4,5,1,high,0
See America: A Celebration of Our National Parks & Treasured Sites,48.87,In stock,3,66,1,high,0
salt.,46.78,In stock,4,5,1,high,0
Robin War,47.82,In stock,3,9,1,high,0
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,In stock,2,65,1,midium,1
Rain Fish,23.57,In stock,3,9,1,midium,0
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,In stock,5,58,1,high,0
Pet Sematary,10.56,In stock,3,12,1,low,0
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,In stock,3,81,1,high,0
Once Was a Time,18.28,In stock,2,15,1,low,0
Old School (Diary of a Wimpy Kid #10),11.83,In stock,5,37,1,low,1
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,In stock,2,68,1,midium,0
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,In stock,2,82,1,midium,1
My Name Is Lucy Barton,41.56,In stock,1,22,1,high,0
My Mrs. Brown,24.48,In stock,3,13,1,midium,0
My Kind of Crazy,40.36,In stock,1,16,1,high,0
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,In stock,1,37,1,midium,1
More Than Music (Chasing the Dream #1),37.61,In stock,2,38,1,midium,1
Made to Stick: Why Some Ideas Survive and Others Die,38.85,In stock,5,52,1,midium,0
Luis Paints the World,53.95,In stock,3,21,1,high,0
Luckiest Girl Alive,49.83,In stock,3,19,1,high,0
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,In stock,2,60,1,high,1
Love Is a Mix Tape (Music #1),18.03,In stock,1,29,1,low,1
Looking for Lovely: Collecting the Moments that Matter,29.14,In stock,5,54,1,midium,0
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,In stock,4,85,1,high,0
Let It Out: A Journey Through Journaling,26.79,In stock,5,40,1,midium,0
Lady Midnight (The Dark Artifices #1),16.28,In stock,5,37,1,low,1
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,In stock,1,69,1,low,0
Island of Dragons (Unwanteds #7),29.65,In stock,1,32,1,midium,1
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,In stock,4,96,1,midium,0
I Am Pilgrim (Pilgrim #1),10.6,In stock,4,25,1,low,1
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,In stock,5,110,1,low,0
"Hush, Hush (Hush, Hush #1)",47.02,In stock,3,26,1,high,1
Hold Your Breath (Search and Rescue #1),28.82,In stock,1,39,1,midium,1
Hamilton: The Revolution,58.79,In stock,3,24,1,high,0
Greek Mythic History,10.23,In stock,5,20,1,low,0
God: The Most Unpleasant Character in All Fiction,30.03,In stock,5,49,1,midium,0
Glory over Everything: Beyond The Kitchen House,45.84,In stock,3,47,1,high,0
Feathers: Displays of Brilliant Plumage,49.05,In stock,3,39,1,high,0
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,In stock,4,78,1,low,0
Every Last Word,46.47,In stock,3,15,1,high,0
Eligible (The Austen Project #4),27.09,In stock,3,32,1,midium,1
El Deafo,57.62,In stock,5,8,1,high,0
Eight Hundred Grapes,14.39,In stock,4,20,1,low,0
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,In stock,5,99,1,high,0
"Eat Fat, Get Thin",54.07,In stock,2,17,1,high,0
Don't Get Caught,55.35,In stock,1,16,1,high,0
Doctor Sleep (The Shining #2),40.12,In stock,2,29,1,high,1
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,In stock,5,104,1,midium,1
Dear Mr. Knightley,11.21,In stock,5,18,1,low,0
Daily Fantasy Sports,36.58,In stock,1,20,1,midium,0
Crazy Love: Overwhelmed by a Relentless God,47.72,In stock,2,43,1,high,0
Cometh the Hour (The Clifton Chronicles #6),25.01,In stock,3,43,1,midium,1
Code Name Verity (Code Name Verity #1),22.13,In stock,4,38,1,midium,1
Clockwork Angel (The Infernal Devices #1),44.14,In stock,1,41,1,high,1
City of Glass (The Mortal Instruments #3),56.02,In stock,4,41,1,high,1
City of Fallen Angels (The Mortal Instruments #4),11.23,In stock,4,49,1,low,1
City of Bones (The Mortal Instruments #1),43.28,In stock,1,41,1,high,1
City of Ashes (The Mortal Instruments #2),47.27,In stock,1,41,1,high,1
Cell,20.29,In stock,4,4,1,midium,0
Catching Jordan (Hundred Oaks),50.83,In stock,3,30,1,high,0
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,In stock,3,43,1,midium,0
Carrie,46.23,In stock,2,6,1,high,0
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,In stock,4,65,1,midium,0
Brain on Fire: My Month of Madness,49.32,In stock,5,34,1,high,0
Batman: Europa,32.01,In stock,2,14,1,midium,0
Barefoot Contessa Back to Basics,28.01,In stock,1,32,1,midium,0
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,In stock,5,75,1,high,0
Balloon Animals,17.03,In stock,3,15,1,low,0
Art Ops Vol. 1,48.8,In stock,3,14,1,high,1
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,In stock,4,118,1,high,1
Angels Walking (Angels Walking #1),34.2,In stock,2,34,1,midium,1
Angels & Demons (Robert Langdon #1),51.48,In stock,3,35,1,high,1
All the Light We Cannot See,29.87,In stock,5,27,1,midium,0
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,In stock,2,53,1,low,0
Abstract City,56.37,In stock,5,13,1,high,0
A Time of Torment (Charlie Parker #14),48.35,In stock,5,38,1,high,1
A Study in Scarlet (Sherlock Holmes #1),16.73,In stock,2,39,1,low,1
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,In stock,2,80,1,high,0
A People's History of the United States,40.79,In stock,2,39,1,high,0
A Man Called Ove,39.72,In stock,1,16,1,midium,0
A Distant Mirror: The Calamitous 14th Century,14.58,In stock,3,45,1,low,0
A Brush of Wings (Angels Walking #3),55.51,In stock,1,36,1,high,1
1491: New Revelations of the Americas Before Columbus,21.8,In stock,3,53,1,midium,0
"The Three Searches, Meaning, and the Story",13.33,In stock,3,42,1,low,0
Searching for Meaning in Gailana,38.73,In stock,1,32,1,midium,0
Rook,37.86,In stock,4,4,1,midium,0
My Kitchen Year: 136 Recipes That Saved My Life,11.53,In stock,2,47,1,low,0
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,In stock,1,64,1,midium,0
